Chart Recorder Data File Tue, Feb 07, 2023 3:46 PM
Time (s)	Position (m)  
15:12:38.309	0.124000
15:12:39.309	0.124000
15:12:40.310	0.125000
15:12:41.309	0.125000
15:12:42.309	0.125000
15:12:43.310	0.125000
15:12:44.310	0.125000
15:12:45.309	0.126000
15:12:46.310	0.126000
15:12:47.309	0.126000
15:12:48.311	0.127000
15:12:49.309	0.127000
15:12:50.309	0.127000
15:12:51.310	0.128000
15:12:52.310	0.128000
15:12:53.309	0.128000
15:12:54.309	0.129000
15:12:55.309	0.129000
15:12:56.310	0.129000
15:12:57.309	0.130000
15:12:58.310	0.130000
15:12:59.309	0.130000
15:13:00.309	0.131000
15:13:01.310	0.131000
15:13:02.309	0.131000
15:13:03.310	0.132000
15:13:04.309	0.132000
15:13:05.310	0.132000
15:13:06.310	0.133000
15:13:07.310	0.133000
15:13:08.310	0.134000
15:13:09.309	0.134000
15:13:10.309	0.135000
15:13:11.310	0.135000
15:13:12.309	0.135000
15:13:13.309	0.136000
15:13:14.309	0.136000
15:13:15.310	0.137000
15:13:16.310	0.137000
15:13:17.309	0.137000
15:13:18.309	0.138000
15:13:19.310	0.138000
15:13:20.310	0.138000
15:13:21.310	0.139000
15:13:22.309	0.139000
15:13:23.309	0.140000
15:13:24.310	0.140000
15:13:25.310	0.140000
15:13:26.309	0.141000
15:13:27.309	0.141000
15:13:28.309	0.141000
15:13:29.310	0.142000
15:13:30.309	0.142000
15:13:31.309	0.143000
15:13:32.310	0.143000
15:13:33.310	0.144000
15:13:34.309	0.144000
15:13:35.310	0.144000
15:13:36.310	0.145000
15:13:37.310	0.145000
15:13:38.310	0.145000
15:13:39.309	0.146000
15:13:40.309	0.146000
15:13:41.310	0.147000
15:13:42.309	0.147000
15:13:43.309	0.148000
15:13:44.310	0.148000
15:13:45.310	0.148000
15:13:46.310	0.148000
15:13:47.310	0.149000
15:13:48.310	0.149000
15:13:49.310	0.150000
15:13:50.309	0.150000
15:13:51.309	0.150000
15:13:52.310	0.151000
15:13:53.309	0.151000
15:13:54.310	0.151000
15:13:55.310	0.152000
15:13:56.310	0.152000
15:13:57.309	0.152000
15:13:58.310	0.153000
15:13:59.317	0.153000
15:14:00.310	0.153000
15:14:01.309	0.154000
15:14:02.310	0.154000
15:14:03.309	0.154000
15:14:04.309	0.154000
15:14:05.310	0.155000
15:14:06.309	0.155000
15:14:07.309	0.155000
15:14:08.309	0.155000
15:14:09.310	0.156000
15:14:10.309	0.156000
15:14:11.309	0.156000
15:14:12.310	0.156000
15:14:13.310	0.157000
15:14:14.310	0.157000
15:14:15.309	0.157000
15:14:16.309	0.157000
15:14:17.309	0.157000
15:14:18.310	0.158000
15:14:19.310	0.158000
15:14:20.309	0.158000
15:14:21.310	0.158000
15:14:22.310	0.158000
15:14:23.310	0.158000
15:14:24.309	0.159000
15:14:25.309	0.159000
15:14:26.309	0.159000
15:14:27.310	0.159000
15:14:28.310	0.159000
15:14:29.309	0.159000
15:14:30.310	0.159000
15:14:31.310	0.159000
15:14:32.309	0.160000
15:14:33.309	0.160000
15:14:34.309	0.160000
15:14:35.310	0.160000
15:14:36.309	0.160000
15:14:37.309	0.160000
15:14:38.309	0.160000
15:14:39.310	0.160000
15:14:40.309	0.160000
15:14:41.310	0.160000
15:14:42.309	0.160000
15:14:43.309	0.160000
15:14:44.310	0.160000
15:14:45.310	0.160000
15:14:46.309	0.160000
15:14:47.310	0.160000
15:14:48.310	0.160000
15:14:49.310	0.160000
15:14:50.310	0.160000
15:14:51.310	0.160000
15:14:52.309	0.159000
15:14:53.309	0.159000
15:14:54.310	0.159000
15:14:55.309	0.159000
15:14:56.309	0.159000
15:14:57.310	0.159000
15:14:58.310	0.159000
15:14:59.310	0.159000
15:15:00.309	0.158000
15:15:01.309	0.158000
15:15:02.310	0.158000
15:15:03.309	0.158000
15:15:04.309	0.158000
15:15:05.309	0.158000
15:15:06.309	0.158000
15:15:07.310	0.157000
15:15:08.310	0.157000
15:15:09.309	0.157000
15:15:10.310	0.157000
15:15:11.310	0.157000
15:15:12.309	0.156000
15:15:13.310	0.156000
15:15:14.310	0.156000
15:15:15.309	0.156000
15:15:16.309	0.155000
15:15:17.310	0.155000
15:15:18.309	0.155000
15:15:19.309	0.155000
15:15:20.309	0.154000
15:15:21.310	0.154000
15:15:22.309	0.154000
15:15:23.309	0.153000
15:15:24.309	0.153000
15:15:25.309	0.153000
15:15:26.310	0.153000
15:15:27.310	0.153000
15:15:28.310	0.152000
15:15:29.310	0.152000
15:15:30.310	0.151000
15:15:31.309	0.151000
15:15:32.310	0.151000
15:15:33.310	0.151000
15:15:34.310	0.150000
15:15:35.310	0.150000
15:15:36.310	0.150000
15:15:37.310	0.150000
15:15:38.309	0.149000
15:15:39.310	0.149000
15:15:40.310	0.148000
15:15:41.310	0.148000
15:15:42.310	0.148000
15:15:43.309	0.147000
15:15:44.309	0.147000
15:15:45.310	0.147000
15:15:46.310	0.146000
15:15:47.309	0.146000
15:15:48.309	0.146000
15:15:49.310	0.145000
15:15:50.309	0.145000
15:15:51.309	0.144000
15:15:52.309	0.144000
15:15:53.309	0.144000
15:15:54.310	0.143000
15:15:55.309	0.143000
15:15:56.309	0.143000
15:15:57.310	0.142000
15:15:58.310	0.142000
15:15:59.310	0.142000
15:16:00.309	0.141000
15:16:01.310	0.141000
15:16:02.309	0.141000
15:16:03.309	0.140000
15:16:04.309	0.140000
15:16:05.309	0.140000
15:16:06.310	0.139000
15:16:07.309	0.139000
15:16:08.310	0.139000
15:16:09.310	0.138000
15:16:10.309	0.138000
15:16:11.311	0.138000
15:16:12.309	0.138000
15:16:13.309	0.137000
15:16:14.309	0.137000
15:16:15.310	0.136000
15:16:16.310	0.136000
15:16:17.310	0.136000
15:16:18.309	0.136000
15:16:19.310	0.135000
15:16:20.310	0.135000
15:16:21.309	0.135000
15:16:22.310	0.134000
15:16:23.309	0.134000
15:16:24.310	0.134000
15:16:25.310	0.133000
15:16:26.310	0.133000
15:16:27.310	0.133000
15:16:28.310	0.132000
